Date,Netherlands,Groningen_PV,Friesland_PV,Drenthe_PV,Overijssel_PV,Flevoland_PV,Gelderland_PV,Utrecht_PV,Noord-Holland_PV,Zuid-Holland_PV,Zeeland_PV,Noord-Brabant_PV,Limburg_PV,Amsterdam,Den Haag,Rotterdam,Utrecht
03/31/1995,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
06/30/1995,101.207729468599,100,102.743142144638,100.696055684455,99.0697674418605,100,101.882352941176,100.519480519481,101.095890410959,101.658767772512,101.023017902813,100.728155339806,101.730769230769,99.6527777777778,100.759493670886,103.13315926893,102.416918429003
09/30/1995,104.106280193237,102.803738317757,104.488778054863,103.712296983759,102.093023255814,102.631578947368,105.176470588235,103.636363636364,104.109589041096,103.791469194313,103.580562659847,104.611650485437,103.653846153846,102.430555555556,102.784810126582,103.916449086162,104.229607250755
12/31/1995,105.314009661836,103.738317757009,108.478802992519,105.568445475638,104.418604651163,104.048582995951,106.352941176471,106.233766233766,104.931506849315,104.028436018957,106.393861892583,105.582524271845,106.153846153846,103.819444444444,103.037974683544,103.394255874674,106.344410876133
03/31/1996,108.212560386473,106.775700934579,111.221945137157,107.424593967517,106.511627906977,103.846153846154,109.411764705882,106.753246753247,107.945205479452,107.582938388626,108.695652173913,109.95145631068,109.615384615385,105.208333333333,105.063291139241,109.138381201044,107.250755287009
06/30/1996,112.07729468599,110.046728971963,117.456359102244,110.672853828306,112.093023255814,108.704453441296,113.882352941176,111.948051948052,111.506849315069,110.663507109005,111.253196930946,112.864077669903,111.153846153846,107.986111111111,107.594936708861,111.488250652742,113.293051359517
09/30/1996,115.942028985507,112.616822429907,120.947630922693,114.849187935035,114.883720930233,113.157894736842,117.411764705882,116.363636363636,115.890410958904,114.218009478673,115.089514066496,117.718446601942,115.192307692308,111.805555555556,111.392405063291,115.404699738903,116.616314199396
12/31/1996,118.357487922705,114.719626168224,123.441396508728,116.705336426914,118.372093023256,114.372469635628,120.470588235294,118.961038961039,117.808219178082,116.350710900474,116.879795396419,120.873786407767,118.076923076923,114.583333333333,112.405063291139,117.493472584856,119.335347432024
03/31/1997,122.222222222222,116.822429906542,122.942643391521,118.561484918794,121.162790697674,115.384615384615,123.058823529412,122.857142857143,122.739726027397,119.905213270142,119.181585677749,125.970873786408,122.884615384615,119.444444444444,114.683544303797,121.148825065274,122.356495468278
06/30/1997,125.6038647343,118.457943925234,129.426433915212,121.577726218097,125.116279069767,117.004048582996,127.294117647059,127.012987012987,126.849315068493,123.222748815166,121.994884910486,127.912621359223,124.807692307692,123.611111111111,119.493670886076,124.804177545692,129.305135951662
09/30/1997,129.227053140097,121.96261682243,131.172069825436,125.522041763341,125.813953488372,119.635627530364,131.764705882353,132.207792207792,129.58904109589,127.251184834123,124.296675191816,131.796116504854,128.653846153846,129.861111111111,123.291139240506,127.937336814621,132.628398791541
12/31/1997,131.884057971015,123.364485981308,133.665835411471,126.682134570766,130.232558139535,122.874493927126,134.352941176471,134.025974025974,133.150684931507,129.383886255924,126.342710997442,135.436893203883,132.115384615385,129.861111111111,125.063291139241,131.331592689295,135.347432024169
03/31/1998,135.024154589372,125.467289719626,138.403990024938,129.466357308585,131.627906976744,124.089068825911,138.117647058824,139.74025974026,136.712328767123,130.805687203791,127.365728900256,140.04854368932,134.807692307692,139.930555555556,126.329113924051,131.331592689295,138.972809667674
06/30/1998,138.647342995169,126.401869158879,141.147132169576,132.250580046404,134.883720930233,125.506072874494,142.352941176471,141.558441558442,142.465753424658,135.071090047393,129.411764705882,141.747572815534,136.923076923077,144.097222222222,131.898734177215,135.509138381201,139.274924471299
09/30/1998,143.236714975845,130.373831775701,145.137157107232,136.658932714617,139.302325581395,129.959514170041,146.588235294118,147.012987012987,149.315068493151,139.099526066351,132.225063938619,146.116504854369,141.730769230769,151.736111111111,137.721518987342,139.686684073107,149.244712990937
12/31/1998,147.342995169082,134.11214953271,148.129675810474,140.835266821346,145.348837209302,132.388663967611,151.764705882353,151.168831168831,152.602739726027,142.417061611374,135.038363171356,151.21359223301,145.192307692308,158.680555555556,140,145.169712793734,149.546827794562
03/31/1999,153.140096618357,134.81308411215,152.369077306733,145.707656612529,150,141.902834008097,158.117647058824,158.701298701299,161.917808219178,146.682464454976,139.641943734015,155.825242718447,150.961538461538,176.388888888889,139.493670886076,147.519582245431,162.537764350453
